,Precision,Recall
T-shirt/top,0.8545454740524292,0.8460000157356262
Trouser,0.9928644299507141,0.9739999771118164
Pullover,0.8167293071746826,0.8690000176429749
Dress,0.9060265421867371,0.8870000243186951
Coat,0.8175473809242249,0.8199999928474426
Sandal,0.9968119263648987,0.9380000233650208
Shirt,0.7165828943252563,0.7129999995231628
Sneaker,0.8895870447158813,0.9909999966621399
Bag,0.9888211488723755,0.9729999899864197
Ankle boot,0.9704952836036682,0.9210000038146973
Overall Accuracy,0.8931999802589417,
