,Precision,Recall
T-shirt/top,0.8799172043800354,0.8500000238418579
Trouser,0.9908443689346313,0.9739999771118164
Pullover,0.8264462947845459,0.8999999761581421
Dress,0.9280423521995544,0.8769999742507935
Coat,0.8805031180381775,0.8399999737739563
Sandal,0.982810914516449,0.972000002861023
Shirt,0.7439252138137817,0.7960000038146973
Sneaker,0.955955982208252,0.9549999833106995
Bag,0.9867346882820129,0.9670000076293945
Ankle boot,0.9473170638084412,0.9710000157356262
Overall Accuracy,0.9101999998092651,
