,Precision,Recall
T-shirt/top,0.8312368988990784,0.7929999828338623
Trouser,0.9838871955871582,0.9769999980926514
Pullover,0.8998732566833496,0.7099999785423279
Dress,0.8563327193260193,0.906000018119812
Coat,0.7939835786819458,0.8709999918937683
Sandal,0.988752543926239,0.9670000076293945
Shirt,0.6278229355812073,0.6949999928474426
Sneaker,0.9101851582527161,0.9829999804496765
Bag,0.9819095730781555,0.9769999980926514
Ankle boot,0.9820864200592041,0.9319999814033508
Overall Accuracy,0.8810999989509583,
